phase,context_length,component,metric,median,iqr,n_reps
decode,2048,layer_0,ms_per_layer,9.94581099995412,0.32337599992752075,20
decode,2048,layer_1,ms_per_layer,9.830910499906167,0.36643424996873364,20
decode,2048,layer_2,ms_per_layer,9.78172949992586,0.24070600036066025,20
decode,2048,layer_3,ms_per_layer,10.006586999981664,0.23433575010858476,20
decode,2048,layer_4,ms_per_layer,9.812983500072733,0.28862899995874614,20
decode,2048,layer_5,ms_per_layer,9.536629999871366,0.17398224980570376,20
decode,2048,layer_6,ms_per_layer,9.316840999759734,0.2171635000850074,20
decode,2048,layer_7,ms_per_layer,9.680459999945015,0.21528274996671826,20
decode,2048,layer_8,ms_per_layer,9.440359499887563,0.26113424985669553,20
decode,2048,layer_9,ms_per_layer,9.367338000214659,0.3263259999221191,20
decode,2048,layer_10,ms_per_layer,9.720429499866441,0.364026750146877,20
decode,2048,layer_11,ms_per_layer,9.707542500109412,0.3726552499574609,20
decode,2048,layer_12,ms_per_layer,9.4590994999744,0.48680950014386326,20
decode,2048,layer_13,ms_per_layer,8.886452000006102,0.2763930000946857,20
decode,2048,layer_14,ms_per_layer,9.178910499904305,0.18169549998128787,20
decode,2048,layer_15,ms_per_layer,9.008513000095263,0.20898850000230595,20
decode,2048,layer_16,ms_per_layer,9.374735999968834,0.1661714999936521,20
decode,2048,layer_17,ms_per_layer,9.591202500043437,0.14933274971554056,20
decode,2048,layer_18,ms_per_layer,9.492925000027753,0.22691199992550537,20
decode,2048,layer_19,ms_per_layer,9.694115999736823,0.23863599984906614,20
decode,2048,layer_20,ms_per_layer,9.717497000121512,0.2706772497622296,20
decode,2048,layer_21,ms_per_layer,9.603705499903299,0.5971445000031963,20
decode,2048,layer_22,ms_per_layer,9.551134999957867,0.33855124976253137,20
decode,2048,layer_23,ms_per_layer,9.472138999961317,0.24862925003981218,20
decode,2048,layer_24,ms_per_layer,9.253687000018544,0.32989450002787635,20
decode,2048,layer_25,ms_per_layer,9.112620999920182,0.19075025006895885,20
decode,2048,layer_26,ms_per_layer,9.148917499813251,0.2598515003337525,20
decode,2048,layer_27,ms_per_layer,16.375382500118576,0.6968744999030605,20
decode,2048,embed_tokens,ms_per_token,0.09053400007542223,0.004643500025849789,20
decode,2048,lm_head,ms_per_token,36.91723149991594,0.4256257501547225,20
decode,2048,TOTAL_WALL,ms_per_token,315.24502350005787,2.18450324999867,20
kv_cache,2048,per_layer,bytes_per_token,8192.0,0,1
kv_cache,2048,all_layers,bytes_per_token,229376.0,0,1
kv_cache,2048,all_layers,bytes_total_measured,469762048,0,1
